,EW5,EW6,EW8,EW9,EW10,EW14A,EW15A,EW15B,EW16A,EW16B,EW16C,EW18A,EW18B,HB1,HB2,HB3,HB4,HB5,HB6,HB7,HB8,AI1,GR9F,GR13A,GR16A,GR18A,GR18B,GR22,GR27A,MH1A,MH1E,MH2,MH4A,FP2A,URBAN2011,METRO,ID11,ID13,COPC,INCOMEPC,NPERSONS,ED2,ED4
100,4,2,1,0,2,0,1,1,0,1,0,1,1,0,1,2,2,,4,4,3,0,1,0,0,0,0,1,1,2,1,1,3,,0,0,2,3,2.0,3.0,8,1,1
101,4,3,1,3,2,1,1,1,1,1,0,3,3,0,0,1,2,3,4,4,5,1,1,0,0,0,0,1,0,1,1,1,3,1,0,0,2,,2.0,1.0,9,1,1
102,2,4,1,5,4,0,1,1,0,0,0,3,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,3,1,1,0,2,2,3.0,3.0,7,0,0
103,2,5,1,6,5,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,3,0,1,0,2,2,2.0,2.0,9,0,0
104,4,3,1,2,3,0,1,1,0,1,0,16,1,0,1,1,2,2,2,3,3,1,1,0,0,0,0,0,1,2,1,1,3,1,1,0,2,2,2.0,2.0,9,1,1
105,2,4,1,7,4,0,1,1,0,0,0,1,1,0,,1,2,2,1,3,3,1,1,0,0,0,0,0,0,0,1,1,3,0,1,0,2,2,3.0,2.0,7,0,0
106,2,3,1,4,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,3,1,1,0,2,,2.0,2.0,6,0,0
107,2,4,1,4,3,0,1,1,0,0,0,1,1,0,,1,2,2,4,3,3,0,1,0,0,0,0,1,1,0,1,1,2,1,1,0,2,,2.0,2.0,6,0,0
108,2,3,1,2,2,0,1,1,0,0,0,1,1,0,1,1,2,2,4,3,5,0,1,0,0,0,0,0,1,0,1,1,2,1,1,0,2,2,3.0,3.0,4,0,0
109,2,4,1,5,2,0,1,1,0,0,0,3,1,0,,1,2,2,4,4,5,0,1,0,0,0,0,0,1,2,1,1,2,1,1,0,2,2,2.0,2.0,7,0,0
110,2,3,1,4,3,0,1,1,0,0,0,2,1,0,,1,2,2,4,3,3,0,1,0,0,0,0,,1,0,1,1,2,1,1,0,2,3,2.0,1.0,6,1,1
111,2,5,1,4,3,0,1,1,0,0,0,2,1,0,0,1,2,3,4,3,3,0,1,0,0,0,0,0,1,2,1,1,2,1,1,0,2,3,2.0,3.0,6,0,0
112,2,4,1,5,3,0,1,1,0,0,0,1,1,0,1,1,2,2,4,3,3,1,1,0,0,0,0,1,1,0,1,1,2,1,1,0,2,2,2.0,2.0,7,0,0
113,4,3,1,1,3,0,1,1,0,0,0,16,2,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,0,2,1,1,3,0,1,0,2,2,2.0,2.0,10,1,1
114,2,4,1,2,2,0,1,1,0,0,0,16,16,0,,1,2,2,4,3,3,1,1,0,0,0,0,1,1,1,1,1,2,1,1,0,2,2,3.0,3.0,4,1,1
115,4,3,1,5,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,0,0,1,1,3,1,1,0,2,3,2.0,1.0,10,0,0
116,2,4,1,2,4,0,1,1,0,0,0,2,1,0,,1,2,2,2,2,3,0,1,0,0,0,0,0,1,0,1,1,2,1,1,0,2,2,3.0,3.0,4,0,0
117,2,4,1,4,3,0,1,1,0,0,0,16,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,2,1,1,0,2,5,3.0,3.0,7,1,0
118,4,2,3,0,1,1,1,1,1,1,0,2,1,0,1,1,2,2,1,3,3,1,1,1,0,0,0,1,1,2,1,1,2,0,1,0,2,5,3.0,3.0,7,1,1
119,2,2,1,1,3,0,1,1,0,1,0,3,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,1,1,2,1,1,3,0,1,0,2,5,3.0,2.0,3,1,1
120,2,2,1,2,2,0,1,1,0,0,0,2,1,0,1,1,2,2,4,3,3,0,1,0,0,0,0,1,1,2,1,1,2,1,1,0,5,2,3.0,3.0,4,0,0
121,2,3,1,2,3,0,1,1,0,0,1,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,2,1,1,3,,1,0,2,2,3.0,2.0,4,1,1
122,2,5,1,3,4,0,1,1,0,0,0,1,1,0,1,3,2,2,4,4,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,2,3.0,2.0,5,0,0
123,4,3,1,1,4,0,1,1,0,1,0,2,1,0,,1,2,2,2,4,3,1,0,0,0,0,0,1,1,1,1,1,3,0,1,0,2,2,3.0,2.0,5,0,0
124,2,3,1,4,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,3,0,1,0,2,2,3.0,2.0,6,1,1
125,2,4,1,6,2,0,1,1,0,0,0,2,1,0,1,1,2,3,2,4,3,0,1,0,0,0,0,0,1,0,1,1,3,0,1,0,2,5,2.0,3.0,20,0,0
126,10,4,1,3,3,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,1,1,2,1,1,3,1,1,0,2,5,2.0,3.0,20,0,0
127,2,4,1,5,3,0,1,1,0,0,0,16,2,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,3,1,1,3,1,1,0,2,2,2.0,2.0,7,0,0
128,4,4,1,5,2,0,1,1,0,0,0,1,1,0,1,1,2,2,4,3,3,0,1,0,0,0,0,0,1,1,1,1,2,1,1,0,2,3,2.0,3.0,11,1,1
129,4,2,3,0,1,0,1,1,0,0,0,1,1,0,,1,2,2,4,3,3,1,1,0,1,0,0,1,1,2,1,1,2,,1,0,2,3,2.0,3.0,11,1,1
130,2,4,1,3,4,0,1,1,0,1,0,1,1,,1,2,2,1,4,4,3,1,0,0,0,0,0,0,1,2,1,1,3,0,1,0,2,5,2.0,2.0,5,0,0
131,7,4,1,0,3,0,1,1,0,0,0,1,1,0,,1,2,2,3,3,3,0,1,0,0,0,0,0,1,1,1,4,3,,1,0,2,2,2.0,1.0,7,0,0
132,2,3,1,5,2,0,1,1,0,0,0,3,2,0,,1,2,2,4,3,3,0,1,0,0,0,0,1,1,0,1,1,2,1,1,0,2,2,2.0,3.0,7,0,0
133,2,4,1,5,3,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,0,0,1,1,3,0,1,0,2,2,3.0,1.0,7,0,0
134,2,3,1,5,3,0,1,1,0,1,0,16,1,0,1,1,2,2,2,3,3,1,1,0,0,0,0,1,1,2,1,1,3,1,1,0,2,2,2.0,2.0,7,1,1
135,2,5,1,6,3,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,3,0,1,0,2,2,2.0,3.0,10,0,0
136,4,2,1,1,1,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,3,0,1,1,0,0,0,1,1,0,1,1,2,1,1,0,2,2,2.0,3.0,7,0,0
137,1,4,1,5,4,0,1,1,0,0,0,1,1,0,,1,2,2,1,2,4,0,1,0,0,0,0,0,1,0,1,2,3,,1,0,2,2,1.0,1.0,8,0,0
138,2,5,1,5,3,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,0,2,1,1,3,0,1,0,2,,2.0,2.0,5,0,0
139,4,2,1,0,3,0,1,1,0,0,0,16,1,0,,1,2,2,4,4,3,1,1,0,0,0,0,,0,2,1,1,3,1,1,0,2,,2.0,2.0,5,0,0
140,2,3,1,5,5,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,3,0,1,0,2,2,3.0,2.0,7,0,0
141,2,4,1,3,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,1,1,1,1,1,3,0,1,0,2,,3.0,3.0,5,0,0
142,4,2,1,2,3,0,1,1,0,0,0,1,1,0,1,1,2,2,2,3,3,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,2,2,2.0,2.0,18,1,1
143,2,4,1,6,3,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,1,1,0,1,1,2,1,1,0,2,2,2.0,3.0,8,0,0
